FID,Married,Divorced,Husband ID,Husband Name,Wife ID,Wife Name,Children
@F1@,11 AUG 1976,Years not provided,@I2@,Unknown,@I1@,Matthew /Smith/,
@F2@,6 FEB 1981,Years not provided,@I1@,Matthew /Smith/,@I3@,Anne /Doe/,@I2@ @I4@
@F3@,10 AUG 2016,5 SEP 2013,@I10@,Charles /Smith/,@I7@,Dorothy /Williams/,@I1@ @I5@
@F8@,5 MAY 1998,Years not provided,@I6@,Joe /Doe/,@I7@,Dorothy /Williams/,
@F4@,Years not provided,Years not provided,@I6@,Joe /Doe/,@I8@,Elizabeth /Johnson/,@I3@
@F5@,4 MAY 1999,Years not provided,@I5@,Jason /Smith/,@I4@,Unknown,
@F6@,Years not provided,Years not provided,@I5@,Jason /Smith/,@I11@,Linda /Davis/,@I13@
@F12@,4 APR 2001,Years not provided,@I10@,Charles /Smith/,@I11@,Linda /Davis/,
@F7@,Years not provided,Years not provided,@I5@,Jason /Smith/,@I12@,Jennifer /Brown/,@I9@
@F9@,Years not provided,Years not provided,@I6@,Joe /Doe/,@I14@,Jessica /Dunn/,
@F10@,4 APR 2000,Years not provided,@I9@,Jeff /Smith/,@I8@,Elizabeth /Johnson/,
@F11@,4 APR 1999,9 JUL 1998,@I12@,Unknown,@I8@,Unknown,
@F11@,4 APR 1999,9 JUL 1998,@I12@,Jennifer /Brown/,@I8@,Elizabeth /Johnson/,
@US14/15F1@,1 JAN 2010,Years not provided,@US14/15-1@,Samuel /Taat/,@US14/15-2@,Kimuel /Bister/,@US14/15-3@ @US14/15-5@ @US14/15-6@ @US14/15-7@ @US14/15-8@ @US14/15-9@ @US14/15-10@ @US14/15-11@
@US14/15F2@,1 JAN 2025,Years not provided,@US14/15-3@,Unknown,@US14/15-4@,Unknown,
