ID,Name,Gender,Birthday,Death,Age,Child in,Spouse in
@I1@,Matthew /Smith/,M,17 JAN 1960,Alive,57,@F3@,@F2@
@I2@,Rob /Smith/,M,25 APR 1979,Alive,38,@F2@,@F1@
@I3@,Anne /Doe/,F,4 APR 1985,Alive,32,@F4@,@F2@
@I4@,John /Smith/,M,27 JAN 1995,Alive,22,@F2@,@F5@
@I5@,Jason /Smith/,M,6 MAR 1966,2 SEP 1990,51,@F3@,@F7@
@I6@,Joe /Doe/,M,12 APR 1927,Alive,90,???,@F9@
@I7@,Dorothy /Williams/,F,11 JAN 1928,17 JUL 2010,89,???,@F8@
@I8@,Elizabeth /Johnson/,F,19 NOV 1930,13 OCT 2013,86,???,@F11@
@I9@,Jeff /Smith/,M,1 MAR 1999,Alive,18,@F7@,@F10@
@I10@,Charles /Smith/,M,25 FEB 1926,16 SEP 1987,91,???,@F12@
@I11@,Linda /Davis/,F,4 NOV 1967,5 FEB 2000,49,???,@F12@
@I12@,Jennifer /Brown/,F,14 MAY 1968,Alive,49,???,@F11@
@I13@,Arnold /Smith/,M,20 DEC 2000,Alive,16,@F6@,None
@I14@,Jessica /Dunn/,F,5 MAR 1990,14 APR 1930,27,???,@F9@
@I15@,Sam /Anderson/,M,7 AUG 1957,Alive,60,???,None
@I16@,Mary /Jacobs/,F,13 AUG 2002,7 SEP 2000,15,???,None
@I17@,Lilly /Anderson/,F,16 JUN 1960,Alive,57,???,None
@I18@,Robert /Anderson/,M,16 SEP 1977,Alive,40,???,None
@I19@,Julie /Anderson/,F,7 MAY 1980,Alive,37,???,None
@I20@,Jonathan /Sam/,M,6 OCT 1980,Alive,37,???,None
@I21@,Angelina /Gilbert/,F,17 JUN 1982,Alive,35,???,None
@I22@,Stevens /David/,M,16 JUN 1978,Alive,39,???,None
@I23@,Molly /Fischer/,F,16 JUN 1979,Alive,38,???,None
@I24@,Sam /Rovins/,M,17 JUN 1980,Alive,37,???,None
@I25@,Emily /Sam/,F,5 JUN 1983,Alive,34,???,None
@I26@,Agatha /Bill/,F,20 MAY 1981,Alive,36,???,None
@I27@,James /Rovins/,M,11 JUL 2003,Alive,14,???,None
@I28@,Oliver /Stevens/,M,16 JUN 2000,Alive,17,???,None
@I29@,Rosie /Jonathan/,F,23 JUL 2002,Alive,15,???,None
@I30@,Johnson /Johnson/,M,23 JUL 2120,Alive,-1,???,None
@I31@,Johnson /Johnson/,M,23 JUL 1815,Alive,202,???,None
@I32@,Help /Me/,F,20 MAY 1800,10 APR 2020,217,???,None
